GENE,SCORE,Mutation,Expression hub,Regulator,Genomic abnormalities (CNV),meEthylation,#SIGPVALS
GFI1,7.23643,0,116,1,0,0.0660646,5
SF3A2,7.13799,0,110,1,1,0.017806,0
CBFB,7.09153,2.24336,114,1,0,0.0334479,23
TCF4,7.07294,1.92445,117,1,0,0.078214,0
CDCA7,6.96625,0,108,1,0,0.0266724,0
ZFAND1,6.9453,0,107,1,1,0.0217103,22
CXXC5,6.92314,0,105,1,0,0,0
MEIS1,6.92042,0,108,1,0,0.0360394,0
APP,6.91813,0,108,1,0,0.0365073,1
RCOR1,6.90097,0,106,1,0,0.0163601,0
RBM3,6.87793,0,104,1,1,0,0
MORF4L2,6.86528,0,104,1,0,0,1
ZNF277,6.85331,0,105,1,1,0.0168592,1
TRIM58,6.82466,0,105,1,0,0.0201289,5
FLT3,6.82335,16,135,1,0,0.100066,13
RNF125,6.81596,0,105,1,0,0.0219089,10
ZCCHC7,6.79545,0,105,1,0,0.026101,23
FOXO1,6.76444,0,105,1,0,0.0324384,0
MKRN1,6.7622,0,102,1,1,0,0
STAT1,6.73721,0,103,1,0,0.0143501,0
EIF4A2,6.71261,0,104,1,0,0.0312071,5
MLLT11,6.65351,0,109,1,0,0.102423,6
RAP2A,6.65219,0,102,1,0,0.0199012,18
FOXC1,6.64715,0,103,1,0,0.032759,0
NLRC3,6.63383,0,100,1,0,0,28
SLC30A9,6.62598,0,101,1,0,0.0134314,3
EAF2,6.61005,0,101,1,0,0.0166875,0
ZNF395,6.59005,0,103,1,1,0.0470162,1
CAT,6.58965,0,103,1,0,0.0445114,15
IFI16,6.58906,0,113,1,0,0.162906,0
RHOA,6.57544,0,102,1,0,0.0355893,1
EIF4G1,6.57248,0,100,1,0,0.0125393,1
PHB2,6.55907,0,131,1,0,0.38193,0
PYCARD,6.54192,0,106,1,0,0.0897521,0
MAGED1,6.53075,0,98,1,1,0,5
ATMIN,6.51865,0,99,1,0,0.0117155,0
DEAF1,6.5181,0,98,1,0,0,0
SF3B5,6.5181,0,98,1,0,0,0
PRKCB,6.51458,0,112,1,0,0.166303,8
FLI1,6.46894,0,100,1,0,0.0337031,18
SETD7,6.45647,0,98,1,0,0.0125983,1
TOP2B,6.44,0,98,1,0,0.0159636,15
XBP1,6.43257,0,99,1,0,0.0293107,7
RNF139,6.41484,0,97,1,1,0.0118658,0
GNPTAB,6.40899,0,98,1,0,0.0223031,0
RBM38,6.36701,0,104,1,0,0.101848,0
ZNF700,6.29929,0,94,1,1,0,26
SRPK1,6.29811,0,96,1,0,0.0213122,4
ARRB2,6.2503,0,95,1,0,0.0192568,22
CREB3L2,6.24144,0,93,1,1,0,0
ZFYVE21,6.2376,0,102,1,0,0.104644,2
CNOT8,6.21302,0,95,1,0,0.0268786,0
PFN1,6.20666,0,97,1,0,0.0518337,0
MAPKAPK3,6.20381,0,94,1,0,0.0169316,1
DPY30,6.17793,0,95,1,0,0.0340496,0
CSK,6.17093,0,92,1,0,0,12
TPK1,6.17022,0,93,1,1,0.0145572,3
SOX4,6.13256,0,95,1,0,0.0433232,12
SNRPD2,6.13221,0,96,1,1,0.0578074,27
C14orf169,6.11306,0,91,1,0,0,0
TFEC,6.10192,0,100,1,1,0.11131,3
DDX18,6.08208,0,92,1,0,0.0181611,0
NFE2,6.08041,0,120,1,0,0.349667,19
DDX47,6.0552,0,90,1,0,0,2
STAT3,6.0427,0,93,1,0,0.0380367,0
FADS1,6.04168,0,92,1,0,0.0264179,0
HDAC4,6.03394,0,91,1,0,0.016173,3
ETS1,6.01934,0,92,1,0,0.0309846,0
UBA3,6.00662,0,90,1,0,0.00993083,0
RALA,6.00649,0,92,1,1,0.0361964,0
KLF1,6.0048,0,128,1,1,0.462326,1
PBX3,5.99865,0,91,1,0,0.0233858,2
TCEAL4,5.99733,0,89,1,0,0,0
NOTCH2,5.96405,0.238824,90,1,0,0.0145249,2
IRF2BP2,5.95678,0,91,1,0,0.0319449,11
SUMO1,5.95601,0,91,1,0,0.0321018,4
MAPK14,5.95121,0,90,1,0,0.021257,0
XRN2,5.94305,0,91,1,0,0.03475,0
CDK2AP2,5.93962,0,89,1,0,0.0117963,0
AKNA,5.93947,0,88,1,0,0,0
ZBTB38,5.93947,0,88,1,0,0,0
PRDX2,5.93138,0,92,1,1,0.0515494,1
POLR2H,5.92816,0,90,1,0,0.0259666,0
POLR2E,5.89633,0.91364,91,1,1,0.031174,2
PRKCQ,5.8813,0,90,1,0,0.0355453,12
RUNX3,5.84674,0,147,1,0,0.71677,3
STAT5B,5.83625,0,88,1,0,0.0210993,4
TOP2A,5.83263,0,90,1,0,0.0454939,2
LYL1,5.82868,0,91,1,1,0.0607144,7
CSNK2B,5.82781,0,88,1,0,0.0228238,0
COPS5,5.81925,0,88,1,1,0.0271605,0
PCGF5,5.81758,0,92,1,0,0.0722255,0
DNMT3B,5.81515,1.057,89,1,0,0.0190608,23
SMAD2,5.81305,0,91,1,0,0.0613228,1
RORA,5.80777,0,98,1,0,0.145193,0
PRKCD,5.80733,0,90,1,0,0.0506658,3
MAP2K3,5.79004,0,89,1,0,0.0423712,1
ZHX2,5.77995,0,88,1,1,0.0351933,0
KAT2B,5.77715,0,89,1,0,0.0450055,0
STRADA,5.77183,0,91,1,0,0.0697479,0
MAFB,5.74944,0,103,1,0,0.216252,32
KCNH2,5.73848,0.707744,96,1,1,0.126117,0
CSTF3,5.73531,0,88,1,0,0.0417318,22
CSNK1A1,5.70924,0,85,1,0,0.0115784,0
PBXIP1,5.70802,0,84,1,0,0,0
TFDP2,5.70802,0,84,1,0,0,31
SP110,5.70497,0,86,1,0,0.0242789,0
GTF2H1,5.70404,0,87,1,0,0.0362953,4
RAB34,5.69817,0,107,1,0,0.274043,0
CREG1,5.69585,0,86,1,0,0.0261434,18
NFKB1,5.67412,0,85,1,0,0.0187569,9
PGK1,5.66281,0,83,1,1,0,0
ZMYM6,5.6589,0,84,1,0,0.0100408,13
SIGIRR,5.65016,0,83,1,0,0,0
ZNF518A,5.65016,0,83,1,0,0,0
EFTUD2,5.62682,0,85,1,0,0.0284258,0
KDM6B,5.59229,0,82,1,0,0,0
PHF17,5.59229,0,82,1,0,0,13
ZNF451,5.59229,0,82,1,0,0,2
RNF13,5.58888,0,83,1,0,0.0125267,18
GUCY1A3,5.58773,0,85,1,0,0.0364166,16
PTBP1,5.58598,0,83,1,1,0.0157039,0
ELL2,5.57586,0,90,1,0,0.0979795,0
ZMYM4,5.57184,0,83,1,0,0.0160084,28
LSM4,5.56694,0,84,1,1,0.031422,0
MYCBP2,5.55818,0.243364,85,1,0,0.03827,14
MED25,5.54708,0,81,1,1,0,0
PCBD1,5.53443,0,81,1,0,0,3
MXD1,5.5218,0,84,1,0,0.0380633,20
CASP6,5.51268,0,82,1,0,0.0162727,22
HNRNPA3,5.51101,0,83,1,0,0.0284424,0
STK4,5.47865,0,82,1,0,0.0232296,0
EIF2S3,5.47656,0,80,1,0,0,10
GATA2,5.4664,0.954677,85,1,0,0.0447989,0
TAF10,5.46011,0,92,1,0,0.145293,0
LUC7L3,5.43351,0,82,1,0,0.0324551,16
EZH1,5.42434,0,81,1,0,0.0225031,2
AQR,5.4187,0,79,1,0,0,1
CCND3,5.4187,0,79,1,0,0,0
CDK4,5.41565,0,82,1,0,0.0361055,1
VGLL4,5.41234,0,82,1,0,0.0367826,3
KDM4B,5.40936,0,82,1,1,0.0399766,1
PRKAB1,5.40262,0,81,1,0,0.0269423,5
ATAD2,5.40092,0,80,1,1,0.0180474,0
HNRPLL,5.39037,0,85,1,0,0.0767566,2
CTDSPL,5.38858,0,83,1,0,0.0534677,0
TLR2,5.38309,0,89,1,0,0.125553,5
NDUFA13,5.37059,0,132,1,1,0.639271,0
VAV1,5.36569,0,81,1,1,0.0370777,0
MYB,5.36472,0.9914,82,1,0,0.0294674,17
EIF4G2,5.36425,0,79,1,0,0.0111315,0
ZSWIM6,5.36084,0,78,1,0,0,5
SMARCA4,5.35415,0,79,1,1,0.015782,7
LSM5,5.35323,0,79,1,1,0.015969,23
CYTL1,5.34995,0,83,1,0,0.0613629,0
KLF9,5.34572,0,82,1,0,0.0504001,0
RUVBL2,5.33802,0,79,1,1,0.0190778,1
VEZF1,5.33546,0,79,1,0,0.0170149,10
ITPA,5.3248,0,80,1,0,0.0310218,0
RHOG,5.31994,0,79,1,0,0.0201887,2
BTG1,5.30723,0,79,1,0,0.0227853,0
SNRPB,5.30385,0,80,1,0,0.0353029,0
TGFB1,5.29736,0,118,1,1,0.488656,0
TROVE2,5.29455,0,78,1,0,0.0135491,0
GCLC,5.28593,0,84,1,0,0.086276,22
HSBP1,5.2628,0,78,1,0,0.0200397,2
DAPK1,5.26014,0,95,1,0,0.221649,0
SSBP2,5.24977,0,78,1,0,0.0227018,2
ZNF706,5.2402,0,78,1,1,0.0272438,2
ZMYND8,5.23712,0,83,1,0,0.0844271,0
ZNHIT3,5.23513,0,77,1,0,0.0138673,10
PINK1,5.23431,0,78,1,0,0.0258628,0
MED1,5.23268,0,79,1,0,0.0380236,22
SMARCD3,5.22749,0,86,1,1,0.124463,1
HIPK1,5.22247,0,77,1,0,0.0164569,0
SND1,5.22146,0,109,1,1,0.397724,0
MNT,5.21953,0,78,1,0,0.0288842,17
NMI,5.21653,0,79,1,0,0.0413241,1
HNRNPA2B1,5.21637,0,77,1,1,0.0202887,21
THOC7,5.20858,0,86,1,0,0.125742,10
ZMAT2,5.20838,0,78,1,0,0.0311615,0
AES,5.1999,0,75,1,1,0,4
RAB31,5.19692,0,82,1,0,0.0808142,29
PRMT5,5.18855,0,78,1,0,0.0352166,0
FLII,5.18183,0,88,1,0,0.154864,9
NRBF2,5.17833,0,76,1,0,0.0136519,4
TSG101,5.16665,0,76,1,0,0.016039,8
ZHX1,5.16429,0,77,1,1,0.0309338,0
ZEB2,5.14788,0,85,1,0,0.126322,2
CEBPD,5.14323,0,77,1,1,0.0352391,7
JHDM1D,5.14204,0,74,1,1,0,28
RAB5B,5.13257,0,75,1,0,0.0111765,0
YWHAZ,5.12976,0,77,1,1,0.0379925,5
WDFY1,5.12939,0,74,1,0,0,1
ZFP106,5.12939,0,74,1,0,0,5
ZNF618,5.12939,0,74,1,0,0,10
ACTL6A,5.11644,0,75,1,0,0.0144733,12
ADAR,5.11542,0,76,1,0,0.0265114,0
YY1,5.10682,0,75,1,0,0.01644,0
SKP1,5.10361,0,75,1,0,0.0170971,0
GFI1B,5.08408,0,79,1,0,0.0683986,0
MAPK7,5.08316,0,75,1,0,0.0212762,4
SUB1,5.07945,0,76,1,0,0.033863,0
CSDE1,5.0788,0,77,1,0,0.0458224,1
NKX2-3,5.07152,0,73,1,0,0,0
TRIM68,5.07152,0,73,1,0,0,25
EIF4EBP1,5.05859,0,74,1,1,0.017057,0
NCOA4,5.05519,0,76,1,0,0.038822,0
WDR61,5.03847,0,74,1,0,0.0185842,3
HDGF,5.02831,0,77,1,0,0.0561426,0
DDX10,5.02419,0,75,1,0,0.0333293,11
BCL11A,5.0179,0,76,1,0,0.0464439,16
BAZ2B,5.01366,0,72,1,0,0,11
CRTC3,5.01366,0,72,1,0,0,5
IBTK,5.01366,0,72,1,0,0,0
DCAF6,5.01154,0.721246,75,1,0,0.0235129,0
PAK2,5.00259,0,84,1,0,0.144191,0
CEBPE,4.99563,0,76,1,0,0.0509968,12
RBMS1,4.99119,0,74,1,0,0.0282479,30
NCOA6,4.9883,0,74,1,0,0.0288389,0
ATF1,4.97585,0,78,1,0,0.0786914,1
SUPT6H,4.96709,0,73,1,0,0.0213471,0
TNFRSF1A,4.9613,0,73,1,0,0.0225304,0
HDAC1,4.9558,0,71,1,0,0,0
TH1L,4.9558,0,71,1,0,0,12
BAZ1A,4.95039,0,75,1,0,0.0484154,0
MITF,4.9482,0,74,1,0,0.0370367,34
FOSL2,4.93895,0,72,1,0,0.0152727,1
HELZ,4.93298,0.135489,73,1,0,0.0259889,0
HIF1A,4.92626,0,72,1,0,0.0178649,22
CASP1,4.92596,0,104,1,0,0.396403,2
PAK1,4.92248,0,73,1,0,0.030465,0
KIT,4.92238,7.99568,87,1,0,0.0585664,4
DNAJB6,4.91879,0,72,1,1,0.0219779,0
PREB,4.91829,0,72,1,0,0.0194949,0
WDR92,4.91571,0,72,1,0,0.0200221,11
RUVBL1,4.91426,0,72,1,0,0.0203187,20
ADD1,4.91189,0,74,1,0,0.0444584,0
ING3,4.9117,0,71,1,1,0.0115985,0
ZFC3H1,4.9031,0.488117,73,1,0,0.0260317,1
PTPN12,4.90132,0,72,1,1,0.0255487,0
ZDHHC16,4.89993,0,71,1,0,0.0114183,0
MIER1,4.89794,0,70,1,0,0,1
PRMT6,4.89794,0,70,1,0,0,4
SUV420H1,4.89794,0,70,1,0,0,1
MAP3K3,4.89253,0,71,1,0,0.0129323,21
NPM1,4.88144,16,96,1,0,0.0357299,0
BCL11B,4.88044,0,79,1,0,0.110024,0
GATA1,4.85273,0,69,1,1,0,0
CCNG1,4.85263,0,72,1,0,0.0329161,15
KLF3,4.85173,0,75,1,0,0.0685809,7
RALB,4.84865,0,71,1,0,0.0219001,1
DUSP3,4.84434,0,71,1,0,0.0227819,20
PAPOLA,4.8439,0,70,1,0,0.0110464,0
POLR2G,4.8337,0,71,1,0,0.024956,0
POLE3,4.8319,0,70,1,0,0.0134978,16
TBK1,4.82881,0,70,1,0,0.0141297,0
TERF2,4.81973,0,72,1,0,0.0396404,12
ITGB3BP,4.8123,0,70,1,0,0.0175044,0
WNK1,4.80773,0.31158,71,1,0,0.0249078,0
ZMYM5,4.79745,0,70,1,0,0.0205401,13
IRAK1,4.79486,0,68,1,1,0,0
MED23,4.79318,0,71,1,0,0.0332389,22
ZBTB20,4.79227,0,70,1,0,0.0215996,30
CDT1,4.78221,0,68,1,0,0,1
RNF24,4.78221,0,68,1,0,0,7
ZNF692,4.78221,0,68,1,0,0,0
ANKRD49,4.77758,0,70,1,0,0.0246006,36
PIK3CG,4.76679,0,72,1,1,0.0530475,1
PRPF8,4.76449,0.772113,72,1,0,0.0376532,0
RAF1,4.76408,0,69,1,0,0.0155339,0
CNBP,4.75733,0,69,1,0,0.0169143,6
ACTL6B,4.75281,0,108,1,1,0.481691,0
MZF1,4.75205,0,73,1,1,0.0678866,12
PPM1D,4.75177,0,69,1,0,0.0180503,0
PLRG1,4.74616,1.11634,69,1,0,0,0
PSMD9,4.72336,0,69,1,0,0.0238566,0
SF3A1,4.72007,0,68,1,0,0.0127018,19
PNRC1,4.71493,0,68,1,0,0.0137518,0
SSRP1,4.71172,0,72,1,0,0.0617185,0
NBN,4.7111,0,69,1,1,0.0289492,0
ZNF467,4.70906,0,82,1,1,0.183121,9
DEDD2,4.70228,0,69,1,1,0.0307513,22
KLF13,4.69924,0,68,1,0,0.0169582,0
CCND2,4.69353,0,70,1,0,0.0417816,1
RAB28,4.69099,0,68,1,0,0.018645,0
SYK,4.68886,0,69,1,0,0.0309102,4
TRIM50,4.67913,0,66,1,1,0,0
ZNF711,4.67913,0,66,1,1,0,0
LRRFIP1,4.6775,2.11407,82,1,0,0.15063,0
MAX,4.67488,1.04239,69,1,0,0.0158419,3
PHF11,4.66648,0,66,1,0,0,0
NEDD4,4.66434,0,68,1,0,0.0240933,4
PDCD4,4.66434,0,67,1,0,0.0122674,3
PPARD,4.65886,0,72,1,0,0.0725232,1
ASCC1,4.64909,0,68,1,0,0.0272106,5
CSNK2A1,4.6263,0,67,1,0,0.0200417,3
HBP1,4.62127,0,65,1,1,0,0
UBE2N,4.61714,0,66,1,0,0.0100866,0
FOXO3,4.61267,0,67,1,0,0.0228276,0
ZBTB16,4.6121,0,93,1,0,0.330454,0
TBL1X,4.60862,0,65,1,0,0,2
ZFP90,4.60862,0,65,1,0,0,11
ZMAT1,4.60862,0,65,1,0,0,16
DEK,4.6081,0,67,1,0,0.023763,1
PLK4,4.59166,0,66,1,0,0.0152939,0
HNRNPM,4.58462,0,67,1,1,0.0311476,0
RAB18,4.58442,0,67,1,0,0.0286024,0
CD86,4.58366,0,120,1,0,0.655609,32
LDB1,4.58288,0,66,1,0,0.0170884,0
DDX5,4.58155,0,66,1,0,0.0173607,3
GTF2H5,4.58023,0,76,1,0,0.135905,10
POLB,4.57911,0,66,1,1,0.020444,0
POLR2B,4.57427,0,67,1,0,0.0306776,6
CREBL2,4.5688,0,66,1,0,0.0199662,10
NFE2L2,4.56427,0,71,1,0,0.0800291,15
MLL5,4.55726,0,66,1,0,0.0223244,2
TCFL5,4.55592,0,66,1,0,0.0225986,14
ZCRB1,4.55578,0,69,1,0,0.0581108,2
ZNF18,4.55075,0,64,1,0,0,3
ATXN1,4.53931,0,65,1,0,0.0141675,2
CALCOCO1,4.5382,0,65,1,0,0.0143948,1
ZNF385A,4.53818,0,91,1,0,0.32191,12
TOP1,4.52268,0,67,1,0,0.0412221,1
TOPBP1,4.51882,0,65,1,0,0.0183552,6
SUPT4H1,4.51516,0,65,1,0,0.0191043,0
SOD2,4.51227,0,65,1,0,0.0196959,24
RBM5,4.51002,0,69,1,0,0.0674657,0
RBM10,4.50555,0,63,1,1,0,0
LRCH4,4.49801,0,65,1,1,0.0251962,0
AURKA,4.49184,0,64,1,0,0.0120428,0
TRIM8,4.47741,0,65,1,0,0.0268205,0
JUN,4.46453,0,65,1,0,0.0294539,10
IRF3,4.45939,0,64,1,1,0.0212606,0
TAF7,4.45159,0,66,1,0,0.043924,1
DR1,4.43843,0,65,1,0,0.0347873,1
TRIM44,4.43503,0,62,1,0,0,8
ZC3H7A,4.43503,0,62,1,0,0,3
ACVR1,4.43495,0,75,1,0,0.153771,0
NLK,4.43479,0,64,1,0,0.0237035,4
PPRC1,4.43365,0,64,1,0,0.0239356,0
UBB,4.43179,0,66,1,0,0.0479709,0
KDM5B,4.42514,0,64,1,0,0.025676,21
EIF3E,4.42202,0,68,1,1,0.0762085,12
RFX2,4.41845,0,63,1,1,0.0178024,0
DRG1,4.40943,0,63,1,0,0.0170598,1
ZNF804A,4.40138,0,65,1,0,0.0423602,0
PRPF31,4.39762,0,64,1,1,0.0338857,1
DDX1,4.39325,1.51713,66,1,0,0.0297597,5
DDX3X,4.38982,0,61,1,1,0,0
PHF14,4.38982,0,61,1,1,0,12
UBP1,4.38397,0.850781,64,1,0,0.01946,1
PPP1CA,4.38079,0,94,1,0,0.389561,5
BIK,4.37925,0,75,1,0,0.165158,0
BCL2L11,4.37717,0,61,1,0,0,1
RNF115,4.37601,0,64,1,0,0.0357176,0
STAT6,4.37501,0,64,1,0,0.0359219,1
EEF1E1,4.37045,0,62,1,0,0.0131995,0
UIMC1,4.36916,0,62,1,0,0.0134625,9
POU4F1,4.36874,0,65,1,0,0.0490337,0
ETS2,4.3678,0,62,1,0,0.0137412,9
TSC22D1,4.36204,0,64,1,0,0.0385744,1
PRKDC,4.35385,0,73,1,1,0.14928,0
TTF2,4.34734,0,63,1,0,0.0297524,6
CASP8AP2,4.34354,0,64,1,0,0.0423546,19
IRAK3,4.33888,0,65,1,0,0.0551359,0
ZDHHC2,4.33196,0,60,1,1,0,1
CDKN2D,4.33151,0,62,1,1,0.0237458,0
SRPK2,4.32104,0,62,1,1,0.025885,2
DHX15,4.31931,0,60,1,0,0,1
ZBTB8A,4.31931,0,60,1,0,0,2
ZNF217,4.31931,0,60,1,0,0,1
BTAF1,4.31685,0,61,1,0,0.0123288,0
CALR,4.30232,1.56225,63,1,1,0.0146729,3
RBL2,4.30058,0,64,1,0,0.0511354,0
TLR4,4.29814,1.10568,66,1,0,0.0562752,4
NFATC2IP,4.29717,0,61,1,0,0.0163527,7
KLF4,4.29528,0,65,1,0,0.0640489,6
DMTF1,4.29436,0,62,1,1,0.0313389,2
TNFRSF4,4.29181,0,62,1,0,0.0292741,3
MED7,4.28936,0,61,1,0,0.0179487,2
RAB10,4.28676,0,61,1,0,0.0184803,20
EIF6,4.27946,0,64,1,0,0.0554537,0
PSMC3,4.27119,0,62,1,0,0.0334899,0
BTBD1,4.26861,0,61,1,0,0.0221898,0
MAP2K1,4.26493,0,64,1,0,0.0584235,27
IL16,4.26144,0,59,1,0,0,1
JAK2,4.26144,0,59,1,0,0,0
PHF19,4.26144,0,59,1,0,0,0
SMARCC2,4.26144,0,59,1,0,0,0
ZNF362,4.25802,0,63,1,0,0.0480087,3
UBE2I,4.25433,0,60,1,0,0.0132822,0
CDK6,4.24881,0,60,1,1,0.0169966,9
CPSF2,4.23967,0,60,1,0,0.0162791,0
SUPT7L,4.23468,0,60,1,0,0.0172977,3
TRIM10,4.23108,0,138,1,0,0.940568,0
ZNRF1,4.22609,0,60,1,0,0.0190536,8
ATF7IP,4.22608,1.39469,62,1,0,0.0187257,0
CARM1,4.22107,0,61,1,1,0.0344917,0
KRAS,4.22077,11.5901,77,1,0,0.0218924,0
ZSCAN18,4.21839,0,61,1,1,0.0350411,31
RLIM,4.21623,0,58,1,1,0,0
ZNF394,4.21578,0.8041,61,1,1,0.0217456,0
SUZ12,4.21104,3.63827,65,1,0,0.0186996,5
RBM17,4.20754,0,59,1,0,0.0110173,3
CHEK1,4.20647,0,66,1,0,0.0940267,0
ECT2,4.20358,0,58,1,0,0,4
EXOSC8,4.20358,0,58,1,0,0,25
RBM23,4.20358,0,58,1,0,0,3
SNRNP27,4.20358,0,58,1,0,0,0
TCEAL8,4.20358,0,58,1,0,0,1
TSC22D3,4.20358,0,58,1,0,0,0
TRIM24,4.20173,0.552842,61,1,1,0.0289394,1
CTBP2,4.19904,0,60,1,0,0.0245844,1
HNRNPAB,4.19622,0,59,1,0,0.0133315,0
DNMT1,4.19519,0.576754,61,1,1,0.0298634,10
LPIN1,4.19491,0,71,1,0,0.155527,16
PATZ1,4.19171,0,59,1,0,0.0142524,12
PLAGL1,4.18771,0,111,1,0,0.630094,8
STAT5A,4.18681,0,61,1,0,0.0389102,2
MAGOH,4.18571,0,60,1,0,0.0273077,1
CREBZF,4.18471,0,60,1,0,0.0275136,28
HNRNPH3,4.18331,0,59,1,0,0.0159704,25
GTF3C2,4.18314,0,59,1,0,0.0160049,0
DUSP12,4.17916,0,61,1,0,0.0404739,6
KIN,4.17885,0,60,1,0,0.0287099,1
DNTTIP2,4.17213,0,59,1,0,0.0182558,0
RNF111,4.16973,1.66154,62,1,0,0.0256548,6
PRPF4,4.16465,0,61,1,0,0.043439,7
MAPK1,4.16311,0.987163,60,1,0,0.0149519,2
TERF2IP,4.16182,0,72,1,0,0.17412,9
MAP3K11,4.1606,0,59,1,0,0.0206125,0
BBX,4.15542,0,59,1,0,0.0216719,32
CBL,4.14744,2.50446,63,1,0,0.0275431,0
BTK,4.14571,0,57,1,0,0,2
EID1,4.14571,0,57,1,0,0,16
PNN,4.14571,0,57,1,0,0,30
TAF4B,4.14571,0,57,1,0,0,6
ZC3H8,4.14571,0,57,1,0,0,2
MYLK,4.14524,0.703335,90,1,0,0.378305,1
SF3B4,4.14283,0,58,1,0,0.0124175,0
NR3C1,4.1384,0,62,1,0,0.0606313,2
HNRNPK,4.13613,3.03012,65,1,0,0.0444693,0
ZNF274,4.13387,0,59,1,1,0.0286625,10
TAF9,4.1299,0,58,1,0,0.0150603,1
IRF7,4.12472,0,71,1,0,0.169874,1
RBM28,4.12454,0,58,1,1,0.0187419,0
TCF25,4.12349,0,60,1,0,0.0400254,0
BRPF1,4.11777,1.53165,61,1,0,0.0266829,0
SLBP,4.11633,0,58,1,0,0.0178337,1
BASP1,4.10863,0,65,1,0,0.1022,2
ADRBK2,4.10262,0,64,1,0,0.0915991,17
TAL1,4.10178,0,77,1,0,0.245529,0
BRD2,4.09661,0,58,1,0,0.0218666,1
RFX5,4.09362,0,61,1,0,0.0579582,0
DDIT3,4.09125,0,58,1,0,0.0229605,0
ZBTB24,4.08786,0,56,1,0,0,0
RBM4,4.08178,0,57,1,0,0.0130681,0
IRX3,4.07624,0,62,1,0,0.0733367,1
SMAD7,4.06321,0,60,1,0,0.0523482,6
CBX3,4.06088,0,57,1,1,0.0199269,11
SMURF2,4.05642,0.982967,75,1,0,0.214241,0
ZFP36L1,4.0557,0,57,1,0,0.0183995,16
CHAF1A,4.03965,0,58,1,1,0.0360941,0
TCF7,4.03818,0,58,1,0,0.0338082,0
AEBP2,4.02999,0,55,1,0,0,1
RC3H2,4.02999,0,55,1,0,0,0
CCNB2,4.02704,0,57,1,0,0.0242583,0
CCAR1,4.02337,0,57,1,0,0.0250079,10
FOXP1,4.02195,0,56,1,0,0.0134717,21
TRIM28,4.02181,0,56,1,1,0.0160861,0
TFEB,4.02142,0,72,1,0,0.202818,16
EXOSC5,4.02008,0,60,1,1,0.0637499,9
SF1,4.01338,0,56,1,0,0.0152226,9
RAB2B,4.01167,0,57,1,0,0.0273989,0
PRDM4,4.00786,0,57,1,0,0.0281778,5
BCL2L1,4.00355,0,59,1,0,0.052713,0
POU2F2,4.00316,0,58,1,1,0.0435536,1
SMAD1,4.00192,0,61,1,0,0.0767022,3
ICAM1,3.99544,0,56,1,1,0.0214749,37
ZEB1,3.99227,0,63,1,0,0.102329,1
ARID1A,3.98951,0.742321,59,1,0,0.0428186,0
FOXM1,3.98814,0,56,1,0,0.0203813,0
SNRPD3,3.98497,0,57,1,0,0.0328568,0
ZNF430,3.98478,0,54,1,1,0,14
SNRNP200,3.98397,0.68403,60,1,0,0.0567806,12
BMPR2,3.98379,0,56,1,0,0.0212709,3
PHF15,3.98295,0,56,1,0,0.0214432,0
MAF1,3.98052,0,55,1,1,0.0126973,0
CASP3,3.97645,0,82,1,0,0.330282,4
MED29,3.97432,0,55,1,1,0.0139637,0
TCF7L2,3.97387,0,57,1,0,0.0351253,0
CCNL2,3.97213,0,54,1,0,0,0
RAB33A,3.97213,0,54,1,0,0,15
TBL1XR1,3.97213,0,54,1,0,0,0
